stop_id,stop_code,stop_name,stop_lat,stop_lon,zone_id,stop_url
LMBG2,LMBG2,LOMBA (GATÕES),41.2074519148244,-8.66037917533829,MTS1,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=LMBG2
LMB2,LMB2,LOMBA,41.2066374620864,-8.66322216397688,MTS1,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=LMB2
GUIF1,GUIF1,GUIFÕES,41.1999990570572,-8.6656720024521,MTS1,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=GUIF1
FSCA2,FSCA2,FRESCA,41.1873507307835,-8.69937576153651,MTS2,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=FSCA2
MCE2,MCE2,MUSEU C. ELÉCTRICO,41.1465263768996,-8.63218781651207,PRT1,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=MCE2
PARR2,PARR2,PONTE DA ARRÁBIDA,41.1484393045418,-8.64093008648626,PRT1,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=PARR2
BVCM3,BVCM3,BOAVISTA CEMITÉRIO,41.1571636941751,-8.62999767663858,PRT1,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=BVCM3
BIC1,BIC1,BICALHO,41.1485162742235,-8.63694472753747,PRT1,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=BIC1
STJ3,STJ3,S.TA JUSTA,41.1744757583687,-8.58664217525308,PRT3,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=STJ3
HSJ8,HSJ8,HOSP. S. JOÃO (CIRCUNVALAÇÃO),41.1828975479064,-8.60000538117055,PRT3,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=HSJ8
AZ,AZ,AZENHA,41.1815885270773,-8.61371490528472,PRT3,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=AZ
BRRG2,BRRG2,BR.REGADO,41.1753007138921,-8.61669303161916,PRT2,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=BRRG2
TIM2,TIM2,TIMOR,41.1651822001192,-8.68712017089704,PRT2,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=TIM2
CQ10,CQ10,CASTELO DO QUEIJO,41.1675170590052,-8.68947487366997,PRT2,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=CQ10
PCID3,PCID3,PR. CID. SALVADOR,41.1726827335817,-8.68818174561753,PRT2,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=PCID3
HMLM2,HMLM2,HOMEM DO LEME,41.1623767228365,-8.68553566228784,PRT2,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=HMLM2
PGON2,PGON2,PRAIA DE GONDARÉM,41.1554177647005,-8.68053527909622,PRT2,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=PGON2
TIM1,TIM1,TIMOR,41.1655541885364,-8.68709662042955,PRT2,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=TIM1
CQ8,CQ8,CASTELO DO QUEIJO,41.1678365315163,-8.6894557761123,PRT2,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=CQ8
CQ5,CQ5,CASTELO DO QUEIJO,41.1682356230068,-8.68784873927489,PRT2,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=CQ5
CQ3,CQ3,CASTELO DO QUEIJO,41.1675322760582,-8.68720089716646,PRT2,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=CQ3
MAL2,MAL2,MALACA,41.1673010782602,-8.68436695793665,PRT2,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=MAL2
MAL3,MAL3,MALACA,41.1670757855574,-8.68448100430219,PRT2,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=MAL3
MLH3,MLH3,MOLHE,41.1601577361944,-8.68318499637682,PRT2,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=MLH3
FTM1,FTM1,FONTE DA MOURA,41.1645050753706,-8.66214428637694,PRT2,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=FTM1
PRO2,PRO2,PEREIRÓ,41.1724829236104,-8.65566831359889,PRT2,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=PRO2
SDP1,SDP1,SIDÓNIO PAIS,41.1645833208111,-8.63700002836105,PRT1,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=SDP1
MPAZ1,MPAZ1,MAN.P.AZEVEDO 1,41.1727173293797,-8.64685605350771,PRT2,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=MPAZ1
RAEP2,RAEP2,ROT. A.E.P.,41.1783162166436,-8.65404309321578,PRT2,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=RAEP2
PREC1,PREC1,PRECIOSA,41.1774842956474,-8.65680134247858,PRT2,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=PREC1
RSR1,RSR1,R. DO SENHOR,41.1823572768879,-8.64644743367932,PRT2,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=RSR1
